url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,genres,awards
https://www.goodreads.com/book/show/46170.For_Whom_the_Bell_Tolls,For Whom the Bell Tolls,Ernest Hemingway,"6,807","256,006",3.97,471,1940,"['Classics', 'Fiction', 'Literature']",
https://www.goodreads.com/book/show/7069.The_World_According_to_Garp,The World According to Garp,John Irving (Goodreads Author),"5,643","208,980",4.09,610,1978,"['Fiction', 'Classics', 'Contemporary']","National Book Award for Fiction (Paperback) (1980), National Book Critics Circle Award Nominee for Fiction (1978), National Book Award Finalist for Fiction (1979)"
https://www.goodreads.com/book/show/77767.Little_House_on_the_Prairie,Little House on the Prairie,"Laura Ingalls Wilder, ","4,594","263,364",4.19,335,1935,"['Classics', 'Historical', 'Historical Fiction']",
https://www.goodreads.com/book/show/227463.A_Clockwork_Orange,A Clockwork Orange,Anthony Burgess,"14,628","623,956",3.99,192,1962,"['Classics', 'Fiction', 'Science Fiction']",Prometheus Hall of Fame Award (2008)
https://www.goodreads.com/book/show/37415.Their_Eyes_Were_Watching_God,Their Eyes Were Watching God,Zora Neale Hurston,"14,844","279,370",3.95,219,1937,"['Classics', 'Fiction', 'Historical']",Audie Award for Solo Narration - Female (2001)
https://www.goodreads.com/book/show/10799.A_Farewell_to_Arms,A Farewell to Arms,"Ernest Hemingway, ","10,136","271,911",3.81,293,1929,"['Classics', 'Fiction', 'Historical']",
https://www.goodreads.com/book/show/16981.Invisible_Man,Invisible Man,Ralph Ellison,"6,335","161,887",3.89,581,1952,"['Classics', 'Fiction', 'Literature']",National Book Award for Fiction (1953)
https://www.goodreads.com/book/show/10365.Where_the_Red_Fern_Grows,Where the Red Fern Grows,Wilson Rawls,"11,506","355,264",4.08,272,1961,"['Classics', 'Fiction', 'Young Adult']","Massachusetts Children's Book Award (1987), North Dakota Children's Choice Award (1981)"
https://www.goodreads.com/book/show/36576608-flowers-for-algernon,Flowers for Algernon,Daniel Keyes,"20,294","505,535",4.15,216,1959,"['Fiction', 'Classics', 'Science Fiction']","Hugo Award Nominee for Best Novel (1967), Nebula Award for Best Novel (tie) (1966), Locus Award Nominee for All-Time Best Novel (36th in poll) (1975)"
https://www.goodreads.com/book/show/40792344-mere-christianity,Mere Christianity,C.S. Lewis,"9,015","317,596",4.32,168,1942,"['Christian', 'Nonfiction', 'Religion']",
https://www.goodreads.com/book/show/17716.Waiting_for_Godot,Waiting for Godot,Samuel Beckett,"5,977","167,871",3.83,109,1952,"['Plays', 'Classics', 'Fiction']",
https://www.goodreads.com/book/show/256008.Lonesome_Dove,Lonesome Dove,Larry McMurtry,"8,088","157,412",4.48,960,1985,"['Fiction', 'Historical', 'Historical Fiction']","Pulitzer Prize for Fiction (1986), PEN/Faulkner Award for Fiction Nominee (1986), National Book Critics Circle Award Nominee for Fiction (1985), Spur Award for Best Western Novel (1985)"
https://www.goodreads.com/book/show/133518.The_Things_They_Carried,The Things They Carried,Tim O'Brien,"14,855","264,192",4.13,246,1990,"['Fiction', 'Historical', 'Historical Fiction']","Pulitzer Prize Nominee for Fiction (1991), Chicago Tribune Heartland Prize for Fiction (1990), Prix du Meilleur Livre Étranger for Roman (1990), National Book Critics Circle Award Nominee for Fiction (1990)"
https://www.goodreads.com/book/show/4989.The_Red_Tent,The Red Tent,Anita Diamant (Goodreads Author),"19,627","534,249",4.18,324,1997,"['Historical', 'Historical Fiction', 'Fiction']","Book Sense Book of the Year Award for Adult Fiction (2001), Boston Author's Club Award (1998)"
https://www.goodreads.com/book/show/228560.Sophie_s_Choice,Sophie's Choice,William Styron,"2,611","83,347",4.18,562,1979,"['Fiction', 'Classics', 'Historical']","National Book Award for Fiction (Hardcover) (1980), National Book Critics Circle Award Nominee for Fiction (1979)"
https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,A Game of Thrones,George R.R. Martin,"55,503","2,084,499",4.44,835,1996,"['Fantasy', 'Fiction', 'Fantasy']","Nebula Award Nominee for Best Novel (1997), Locus Award for Best Fantasy Novel (1997), World Fantasy Award Nominee for Best Novel (1997), Premio Ignotus for Novela extranjera (2003)"
https://www.goodreads.com/book/show/7745.Fear_and_Loathing_in_Las_Vegas,Fear and Loathing in Las Vegas,"Hunter S. Thompson, ","6,781","308,426",4.07,204,1971,"['Fiction', 'Classics', 'Humor']",
https://www.goodreads.com/book/show/5113.Franny_and_Zooey,Franny and Zooey,J.D. Salinger,"6,926","190,661",3.97,201,1955,"['Fiction', 'Classics', 'Short Stories']",National Book Award Finalist for Fiction (1962)
https://www.goodreads.com/book/show/59716.To_the_Lighthouse,To the Lighthouse,Virginia Woolf,"8,162","141,236",3.78,209,1927,"['Classics', 'Fiction', 'Literature']",Femina - Vie Heureuse Prize (1928)
https://www.goodreads.com/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man,A Portrait of the Artist as a Young Man,"James Joyce, ","5,573","131,928",3.62,329,1916,"['Classics', 'Fiction', 'Literature']",
https://www.goodreads.com/book/show/40495148-blindness,Blindness,"José Saramago, ","17,535","216,215",4.14,349,1995,"['Fiction', 'Science Fiction', 'Dystopia']","Premio San Clemente for Novela Estranxeira (1999), International Dublin Literary Award Nominee (1999)"
https://www.goodreads.com/book/show/135479.Cat_s_Cradle,Cat's Cradle,Kurt Vonnegut Jr.,"11,339","348,388",4.16,179,1963,"['Fiction', 'Classics', 'Science Fiction']",Hugo Award Nominee for Best Novel (1964)
https://www.goodreads.com/book/show/99107.Winnie_the_Pooh,Winnie-the-Pooh,"A.A. Milne, ","5,093","287,122",4.31,145,1926,"['Classics', 'Childrens', 'Fiction']",
